,Ciudad,Condicion_laboral,Clase_edad,Usa_surgelados,Usa_dulces_surgelados,Tipo_de_crema,Tipo_de_pastel,Juicio_pastel,Compraria,Juicio_crema
441,1,2,2,2,2,1,3,4,3,4
442,1,1,2,2,2,4,3,4,4,2
443,1,1,2,2,1,1,3,5,4,4
444,1,1,1,2,1,3,3,5,4,5
445,1,1,1,2,2,4,3,6,5,6
446,1,2,2,2,1,2,3,4,4,3
447,1,2,3,2,1,1,3,5,3,5
448,1,1,3,2,2,3,3,2,1,3
449,1,1,3,2,1,1,3,3,3,4
450,2,1,2,1,2,2,3,4,2,3
451,2,1,3,2,2,4,3,6,4,5
452,2,1,3,2,1,2,3,6,5,5
453,2,1,3,2,2,1,3,7,5,6
454,2,2,3,2,2,2,3,5,4,5
455,2,2,2,2,2,2,3,5,5,5
456,1,1,2,2,1,4,3,5,5,5
457,1,1,3,2,2,4,3,6,5,6
458,2,1,2,2,1,1,3,5,5,5
459,2,2,1,2,2,1,3,6,5,3
460,2,1,2,2,1,3,3,5,5,5
461,2,1,3,2,1,3,3,6,5,6
462,2,2,2,2,2,2,3,5,4,5
463,2,1,1,2,1,3,3,6,5,5
464,2,1,2,2,1,1,3,5,5,5
465,2,2,2,2,2,3,3,3,3,4
466,2,2,2,2,1,2,3,5,5,5
467,2,2,1,2,2,1,3,5,4,6
468,2,2,2,2,1,3,3,4,3,3
469,2,2,2,2,1,3,3,5,3,5
470,2,2,3,2,1,3,3,6,5,6
471,2,1,2,2,1,1,3,6,4,6
472,2,1,2,2,1,1,3,6,5,6
473,2,1,2,2,1,1,3,4,4,5
474,2,2,3,2,2,1,3,5,5,4
475,2,1,1,2,2,1,3,6,5,6
476,2,2,3,2,1,1,3,5,5,5
477,2,1,1,2,1,1,3,6,5,5
478,2,1,3,2,2,1,3,6,5,6
479,2,2,2,2,2,4,3,5,5,4
480,2,1,2,2,1,3,3,4,4,4
481,2,1,2,2,1,3,3,5,5,5
482,2,2,2,2,2,1,3,5,3,4
483,2,1,2,1,2,1,3,5,5,5
484,2,1,3,2,1,1,3,5,3,6
485,2,2,1,1,2,1,3,5,4,6
486,2,1,2,2,2,2,3,5,5,6
487,2,1,3,1,2,1,3,5,4,5
488,2,2,1,2,2,1,3,5,5,5
489,2,2,2,2,2,1,3,4,4,4
490,2,2,3,2,2,1,3,5,4,5
491,2,1,2,2,2,1,3,7,5,5
492,2,1,3,2,2,1,3,5,5,5
493,2,2,2,2,2,2,3,5,4,5
494,2,1,2,2,1,1,3,5,4,5
495,1,1,3,2,1,3,3,4,3,3
496,1,1,3,2,2,4,3,5,4,4
497,1,1,2,2,1,1,3,5,2,5
498,2,1,3,2,2,1,3,6,5,6
499,2,2,3,2,2,1,3,5,4,5
500,2,1,1,2,2,1,3,4,4,4
501,2,1,3,2,2,1,3,4,5,5
502,1,1,3,1,2,4,3,4,3,4
503,1,1,3,1,2,1,3,7,5,7
504,2,1,2,2,2,1,3,6,5,7
505,1,2,3,2,2,3,3,3,1,3
506,1,2,3,2,2,1,3,3,2,3
507,2,1,3,2,2,1,3,5,4,4
508,1,2,3,2,2,4,3,5,4,5
509,1,2,1,1,1,1,3,2,1,2
510,1,2,2,2,1,1,3,3,2,3
511,1,2,3,2,1,3,3,4,3,4
512,1,2,1,2,1,1,3,4,4,3
513,1,2,2,2,1,2,3,3,1,3
514,1,1,3,2,2,1,3,5,4,4
515,1,2,1,2,2,1,3,2,1,2
516,1,2,1,2,2,4,3,3,3,3
517,1,2,3,2,1,3,3,5,4,5
518,1,2,2,2,2,4,3,2,1,2
519,1,2,3,2,2,1,3,3,2,2
520,2,2,2,2,1,2,3,5,4,5
